id,current_price,high_24h,low_24h,ch_lowhigh,price_ch_24h,price_ch_7d_php,price_ch_30d_php,market_cap_ch_24h
bitcoin,2928723.0,2940299.0,2809797.0,4.644534818707546,1.22419,-9.985250965974831,-10.623856115255704,-1.03497
ethereum,213448.0,214173.0,199455.0,7.37910806948936,5.68568,-9.89502184705488,8.185453057812486,4.77437
litecoin,11026.16,11081.88,10090.91,9.820422538700658,5.3469,-16.255109916592268,14.881750068535593,2.99374
chainlink,1444.78,1448.39,1319.45,9.772253590511193,7.11595,-17.27657653370707,9.63222618597498,5.8258
uniswap,1067.39,1073.25,998.58,7.477618217869364,5.11864,-16.36557973497729,-19.34710247913088,5.19161
